1001;89934
1002;246601
1003;215846
1004;79905
1051;133251
1053;199152
1054;167147
1055;201487
1056;317085
1057;129353
1058;274765
1059;202647
1060;278007
1061;130706
1062;244989
2000;1852478
3101;248561
3102;103866
3103;123840
3151;177227
3153;134688
3154;91518
3155;131772
3157;135844
3158;119361
3159;323900
3241;1155330
3251;218072
3252;148580
3254;275464
3255;70207
3256;121645
3257;158406
3351;179386
3352;198826
3353;256016
3354;48503
3355;184235
3356;114640
3357;164486
3358;140885
3359;205357
3360;92566
3361;137574
3401;77503
3402;49874
3403;169605
3404;164223
3405;75189
3451;125643
3452;190178
3453;172632
3454;328930
3455;98971
3456;137891
3457;171483
3458;131467
3459;359471
3460;143698
3461;88524
3462;57384
4011;566573
4012;113557
5111;620523
5112;495885
5113;582415
5114;226844
5116;259665
5117;170921
5119;209566
5120;111516
5122;159193
5124;355004
5154;313586
5158;484322
5162;452001
5166;298536
5170;460113
5314;330579
5315;1083498
5316;163905
5334;556631
5358;265140
5362;469611
5366;194359
5370;256458
5374;271699
5378;283275
5382;600375
5512;117388
5513;259105
5515;316403
5554;371898
5558;220712
5562;613599
5566;448197
5570;277417
5711;333509
5754;364818
5758;250547
5762;139729
5766;346970
5770;310270
5774;308335
5911;364454
5913;587696
5914;188687
5915;178967
5916;156940
5954;323130
5958;259030
5962;408662
5966;133362
5970;275491
5974;301016
5978;393618
6411;159174
6412;764104
6413;130892
6414;278609
6431;271015
6432;297701
6433;275807
6434;237281
6435;421689
6436;239264
6437;96754
6438;356542
6439;187433
6440;310353
6531;271667
6532;253373
6533;172291
6534;245903
6535;105506
6611;201048
6631;223023
6632;120304
6633;237007
6634;179840
6635;156528
6636;100046
7111;113388
7131;130479
7132;129087
7133;158746
7134;80830
7135;61578
7137;214786
7138;183131
7140;103401
7141;122574
7143;202830
7211;110674
7231;112685
7232;100055
7233;60491
7235;150533
7311;48750
7312;99662
7313;46685
7314;172557
7315;217123
7316;53306
7317;40176
7318;50741
7319;83459
7320;34001
7331;130715
7332;133004
7333;75539
7334;129006
7335;106320
7336;70105
7337;110783
7338;154754
7339;211525
7340;94912
8111;630305
8115;392898
8116;533617
8117;258781
8118;544971
8119;427286
8121;126458
8125;346363
8126;112765
8127;197860
8128;132684
8135;132812
8136;314294
8211;55449
8212;308436
8215;446852
8216;232091
8221;158741
8222;309721
8225;143797
8226;548233
8231;126016
8235;160149
8236;199752
8237;118364
8311;230940
8315;264867
8316;166862
8317;432580
8325;140166
8326;212872
8327;141682
8335;286876
8336;228842
8337;171237
8415;287497
8416;228471
8417;189862
8421;126405
8425;198204
8426;202250
8435;217901
8436;285888
8437;130946
9161;136952
9162;1488202
9163;63591
9171;111654
9172;106327
9173;128212
9174;155117
9175;144091
9176;133169
9177;138891
9178;180313
9179;218740
9180;88279
9181;121019
9182;100183
9183;116483
9184;349685
9185;97730
9186;129128
9187;261721
9188;136610
9189;177485
9190;136134
9261;73065
9262;52415
9263;47612
9271;119479
9272;78355
9273;123390
9274;161191
9275;193454
9276;77313
9277;121800
9278;101745
9279;97244
9361;42052
9362;152270
9363;42535
9371;102998
9372;128094
9373;135225
9374;94645
9375;194275
9376;148477
9377;71696
9461;76674
9462;74048
9463;40842
9464;45173
9471;147497
9472;103679
9473;86571
9474;116600
9475;94522
9476;66355
9477;71428
9478;66722
9479;71974
9561;41681
9562;112385
9563;128223
9564;515543
9565;41056
9571;185316
9572;138105
9573;118695
9574;171143
9575;101272
9576;127168
9577;95117
9661;70858
9662;53319
9663;126954
9671;174658
9672;103169
9673;79510
9674;84275
9675;91696
9676;128743
9677;125976
9678;115652
9679;162697
9761;295830
9762;44662
9763;68940
9764;44360
9771;135024
9772;255900
9773;97172
9774;127342
9775;175823
9776;82085
9777;141907
9778;146164
9779;134324
9780;156308
10041;327502
10042;103471
10043;131172
10044;193732
10045;141656
10046;86458
11000;3664088
12051;72040
12052;98693
12053;57015
12054;182112
12060;187343
12061;173316
12062;101085
12063;164693
12064;197195
12065;214234
12066;108396
12067;179276
12068;98808
12069;217954
12070;76096
12071;113011
12072;171554
12073;118250
13003;209061
13004;95609
13071;258057
13072;217072
13073;225383
13074;157975
13075;235773
13076;211844
14511;244401
14521;331917
14522;301474
14523;223905
14524;312033
14612;556227
14625;298010
14626;250558
14627;240371
14628;244722
14713;597493
14729;258386
14730;197444
15001;79354
15002;237865
15003;235775
15081;82687
15082;157217
15083;170567
15084;177590
15085;210975
15086;89403
15087;133690
15088;183434
15089;187457
15090;110485
15091;124185
16051;213692
16052;92126
16053;110731
16054;36395
16055;65098
16056;41970
16061;99463
16062;82456
16063;117967
16064;101698
16065;73522
16066;124241
16067;134563
16068;69107
16069;62656
16070;105606
16071;82291
16072;57044
16073;102139
16074;82816
16075;79632
16076;96668
16077;88356
